City_ID,City,Country,Max Temp,Current_Description,Lat,Lng,Hotel Name
0,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
2,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Constantine,DZ,81.81,clear sky,36.365,6.6147,Grand Hotel Cirta
19,Atuona,PF,76.66,clear sky,-9.8,-139.0333,Villa Enata
20,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
22,Hithadhoo,MV,83.34,overcast clouds,-0.6,73.0833,Scoop Guest House
24,Ternate,ID,76.46,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
25,Ponta Do Sol,PT,76.01,few clouds,32.6667,-17.1,Hotel do Campo
27,Jamestown,US,81.05,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
32,Diapaga,BF,79.86,light rain,12.0708,1.7889,Hôtel GACILIE
34,Davila,PH,81.79,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
38,Naze,JP,79.72,broken clouds,28.3667,129.4833,Shishime Hotel
40,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Sao Filipe,CV,75.06,overcast clouds,14.8961,-24.4956,Hotel Xaguate
45,Tura,IN,75.67,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
48,Wanning,CN,81.43,broken clouds,18.8003,110.3967,Paradise Hotel
52,Trinidad,BO,82.38,broken clouds,-14.8333,-64.9,Hotel Piesta
55,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
56,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
63,Bengkulu,ID,75.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
67,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
70,Pilar,BR,80.53,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
74,Kayan,MM,78.94,overcast clouds,16.9056,96.5631,ဖြိုးရတနာ ရွှေဆိုင်
82,Muncar,ID,75.63,broken clouds,-8.4333,114.3333,Zaky Homestay
83,Nishihara,JP,82.45,mist,26.1842,127.7558,Minshuku Agaihama
85,Thompson,CA,82.56,smoke,55.7435,-97.8558,Burntwood Hotel
88,Cayenne,GF,77.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
89,Guerrero Negro,MX,77.31,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
97,Buala,SB,78.31,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
100,Hilo,US,84.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
103,Rabaul,PG,78.15,overcast clouds,-4.1967,152.1721,Rabaul Hotel
105,Butaritari,KI,81.68,moderate rain,3.0707,172.7902,Isles Sunset Lodge
115,Labuhan,ID,77.18,broken clouds,-6.8844,112.2051,DoubleFAG
118,Matara,LK,76.21,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
119,Sinnamary,GF,79.92,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
120,Tortoli,IT,78.62,clear sky,39.9256,9.6572,Hotel La Bitta
122,Upata,VE,78.91,overcast clouds,8.0086,-62.3989,Posada Villa Nela
124,Araxa,BR,80.56,clear sky,-19.5933,-46.9406,Plaza Inn Flat Araxá
128,Dingle,PH,76.42,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
129,Lorengau,PG,79.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
130,Casambalangan,PH,81.0,overcast clouds,18.3765,122.1274,Villa Saturnina
135,La Ronge,CA,82.62,few clouds,55.1001,-105.2842,Northland Motor Hotel
138,Pacific Grove,US,77.38,scattered clouds,36.6177,-121.9166,Lovers Point Inn
146,Broome,US,84.02,clear sky,42.2506,-75.833,Chenango Valley State Park
153,Axim,GH,75.67,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
155,Keti Bandar,PK,82.54,moderate rain,24.1447,67.4497,Haji laloo memon house
167,Hobyo,SO,77.79,broken clouds,5.3505,48.5268,Iftin hotel hobyo
175,Itarema,BR,80.29,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
176,Hauterive,FR,77.76,broken clouds,46.0901,3.4459,Aletti Palace Hotel
177,Tatawin,TN,78.19,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
183,Kavaratti,IN,81.1,broken clouds,10.5669,72.642,Green leaf
186,Pasighat,IN,80.65,clear sky,28.0667,95.3333,Siang Guest House
200,Dhidhdhoo,MV,81.79,broken clouds,6.8833,73.1,Dhidhoo beach
212,Mweka,CD,76.77,few clouds,-4.85,21.5667,Guest House Boshab
216,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
217,Matca,RO,75.04,scattered clouds,45.85,27.5333,Octavian Goga 22
223,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
235,Namatanai,PG,77.86,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
239,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
240,Turkan,AZ,75.38,clear sky,40.3639,50.215,Reshad
242,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
245,Nara,JP,76.5,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
256,Nipawin,CA,75.24,clear sky,53.3668,-104.0009,Tobin Lake Motel
