,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
0,Georgetown,MY,2022-07-15 19:40:52,5.4112,100.3354,82.89,93,20,0.0,few clouds
1,Vila,PT,2022-07-15 19:42:47,42.0304,-8.1588,63.48,62,35,2.01,scattered clouds
2,Puerto Ayora,EC,2022-07-15 19:45:22,-0.7393,-90.3518,76.96,92,65,8.01,broken clouds
3,Ushuaia,AR,2022-07-15 19:47:46,-54.8,-68.3,35.26,60,20,6.91,few clouds
4,Hermanus,ZA,2022-07-15 19:45:23,-34.4187,19.2345,55.8,85,100,9.33,overcast clouds
5,Punta Arenas,CL,2022-07-15 19:45:23,-53.15,-70.9167,33.82,93,20,10.36,few clouds
6,Belmonte,BR,2022-07-15 19:45:23,-15.8631,-38.8828,72.45,85,69,7.58,broken clouds
7,Rikitea,PF,2022-07-15 19:42:46,-23.1203,-134.9692,68.11,77,100,7.74,light rain
8,Sisimiut,GL,2022-07-15 19:52:13,66.9395,-53.6735,43.34,76,96,8.08,overcast clouds
9,Constantine,DZ,2022-07-15 19:52:13,36.365,6.6147,81.81,34,0,10.36,clear sky
10,Lompoc,US,2022-07-15 19:50:38,34.6391,-120.4579,93.02,66,0,14.97,clear sky
11,Bredasdorp,ZA,2022-07-15 19:52:14,-34.5322,20.0403,51.84,95,100,3.6,overcast clouds
12,Haines Junction,CA,2022-07-15 19:52:14,60.7522,-137.5108,57.15,77,100,2.3,overcast clouds
13,Iberia,US,2022-07-15 19:52:15,29.9502,-91.7507,87.98,88,75,4.61,light rain
14,Te Anau,NZ,2022-07-15 19:44:09,-45.4167,167.7167,32.38,91,61,1.1,broken clouds
15,Presidente Medici,BR,2022-07-15 19:45:27,-11.1753,-61.9014,92.57,33,100,6.11,overcast clouds
16,Sar-E Pul,AF,2022-07-15 19:45:27,35.8333,66.1667,68.5,27,0,4.85,clear sky
17,Luderitz,NA,2022-07-15 19:45:27,-26.6481,15.1594,71.19,30,0,4.72,clear sky
18,Vestmannaeyjar,IS,2022-07-15 19:45:28,63.4427,-20.2734,50.99,93,100,26.46,drizzle rain
19,Atuona,PF,2022-07-15 19:45:28,-9.8,-139.0333,76.66,74,1,12.62,clear sky
20,Vaini,TO,2022-07-15 19:44:14,-21.2,-175.2,75.36,94,20,5.75,few clouds
21,Mataura,NZ,2022-07-15 19:45:29,-46.1927,168.8643,35.47,97,94,3.71,overcast clouds
22,Hithadhoo,MV,2022-07-15 19:45:29,-0.6,73.0833,83.34,74,100,15.7,overcast clouds
23,Izumo,JP,2022-07-15 19:45:29,35.3667,132.7667,73.35,88,1,3.71,clear sky
24,Ternate,ID,2022-07-15 19:45:30,0.8,127.4,76.46,90,100,10.25,moderate rain
25,Ponta Do Sol,PT,2022-07-15 19:45:30,32.6667,-17.1,76.01,79,15,6.06,few clouds
26,Busselton,AU,2022-07-15 19:45:31,-33.65,115.3333,58.84,63,100,1.63,overcast clouds
27,Jamestown,US,2022-07-15 19:45:31,42.097,-79.2353,81.05,40,75,11.5,broken clouds
28,Provideniya,RU,2022-07-15 19:45:31,64.3833,-173.3,47.14,72,86,1.74,overcast clouds
29,Kyabe,TD,2022-07-15 19:45:32,9.4515,18.9449,75.2,89,100,3.71,overcast clouds
30,Simao,CN,2022-07-15 19:45:32,22.7886,100.9748,67.03,95,53,1.52,broken clouds
31,Albany,US,2022-07-15 19:43:53,42.6001,-73.9662,86.58,37,7,1.01,clear sky
32,Diapaga,BF,2022-07-15 19:45:33,12.0708,1.7889,79.86,77,89,12.97,light rain
33,Maneromango,TZ,2022-07-15 19:45:33,-7.1988,38.7848,68.61,83,84,5.93,broken clouds
34,Davila,PH,2022-07-15 19:45:34,18.4726,120.5763,81.79,81,98,11.21,overcast clouds
35,Dikson,RU,2022-07-15 19:42:50,73.5069,80.5464,47.53,72,100,7.27,overcast clouds
